Date,MarketPrice,MinersRevenue,TradeVolume,TransctionFee,TransactionPerSec,Return
8/31/2019,9577.99,20380765.55,112305189.3,0.668406051,2.85,0.002391942
9/1/2019,9600.9,17386554.18,40437358.65,0.675583573,3.95,0.017591059
9/2/2019,9769.79,19567794.84,45179221.48,0.875537167,3.366666667,0.063138512
9/3/2019,10386.64,22232234.97,153032806.8,1.100397813,3.083333333,0.022591521
9/4/2019,10621.29,18375693.84,228788746.9,1.214333385,3.316666667,-0.003495809
9/5/2019,10584.16,22456931.63,196753395.6,1.100238901,4.083333333,-0.000600898
9/6/2019,10577.8,21464687.59,90967493.33,1.094437775,3.283333333,-0.024610978
9/7/2019,10317.47,20094042.86,210268387.8,0.875890274,5.75,0.016451708
9/8/2019,10487.21,23644815.68,65192692.24,0.789162481,2.45,-0.007714158
9/9/2019,10406.31,19160369.49,63124156.14,1.063614861,4,-0.008903252
9/10/2019,10313.66,23662199.32,133582936.9,1.124291088,2.85,-0.020616348
9/11/2019,10101.03,23997270.5,109189912.1,1.033180094,3.25,0.005770699
9/12/2019,10159.32,20481339.86,122176795.1,0.89695442,3.983333333,0.025674947
9/13/2019,10420.16,19643241.85,114864653.9,0.920042364,3.083333333,-0.005399149
9/14/2019,10363.9,20523303.28,95214496.61,0.718465786,3.3,-0.000247976
9/15/2019,10361.33,19411747.05,55063941.31,0.685493486,3.316666667,-0.004912497
9/16/2019,10310.43,21460937.09,40801052.22,0.857924467,2.55,-0.004345115
9/17/2019,10265.63,19262723.37,107174306.4,1.029929533,3.066666667,-0.007332234
9/18/2019,10190.36,22533478.53,91392243.66,0.958491615,3.683333333,-0.003215784
9/19/2019,10157.59,19373703.71,90728914.37,1.041662481,3.6,0.011645479
9/20/2019,10275.88,19539823.59,157389488.4,0.956518325,3.266666667,-0.01000109
9/21/2019,10173.11,21079948.12,89963558.47,0.699688306,4.066666667,-0.019032528
9/22/2019,9979.49,21169975.57,69869004.16,0.643133304,2.7,0.005367008
9/23/2019,10033.05,14647183.8,59501805.67,1.111055213,3.433333333,-0.034851815
9/24/2019,9683.38,19220354.79,120001577.2,1.018382248,3.55,-0.116671038
9/25/2019,8553.61,17222704.4,491431838.4,1.034847383,4.383333333,-0.0141905
9/26/2019,8432.23,18142040.44,269030045.2,0.757686622,3.283333333,-0.044660784
